CERCID,SITE,SELFGAME,DISTANT,PROXIM,DIEPUN,OMNI.BG,AGE,SEX,CHILDREN,FORMALED,HONSAL,DISSAL,HONBIN,DISBIN,HONDIS,TREATMENT,INGFIRST,gamecheck,gmcheck.imp,HADZA
CERC189,Lovu,1,11,19,1,1,50,0,2,8,NA,0.4,0,1,1,1,0,0,0,0
CERC19,Coastal Tanna,1,17,13,1,1,20,0,0,6,NA,NA,0,0,0,0,0,0,0,0
CERC190,Lovu,1,18,12,1,1,44,0,2,11,NA,NA,0,0,0,1,1,0,0,0
CERC191,Lovu,1,16,14,1,1,24,1,0,19,NA,NA,0,0,0,0,0,1,1,0
CERC192,Lovu,1,11,19,0.5,1,18,1,NA,13,0.333333333,NA,1,0,1,1,0,0,0,0
CERC193,Lovu,1,14,16,1,1,31,0,2,6,0.333333333,1,1,1,2,1,1,0,0,0
CERC194,Lovu,1,17,13,0.5,1,42,1,2,6,NA,NA,0,0,0,0,0,0,0,0
CERC195,Lovu,1,9,21,1,1,20,1,NA,15,1,NA,1,0,1,0,1,0,0,0
CERC196,Lovu,1,10,20,0.5,0.5,32,1,2,8,0.666666667,0.666666667,1,1,2,0,1,0,0,0
CERC197,Lovu,1,12,18,0.5,1,66,1,3,7,1,0.666666667,1,1,2,1,1,0,0,0
CERC198,Lovu,1,14,16,1,1,23,0,2,10,0.666666667,0.666666667,1,1,2,1,1,0,0,0
CERC199,Lovu,1,14,16,0.5,1,20,1,0,16,0.2,0.4,1,1,2,1,1,0,0,0
CERC2,Coastal Tanna,1,18,12,NA,NA,26,0,2,13,NA,NA,0,0,0,0,1,0,0,0
CERC20,Coastal Tanna,1,14,16,1,1,42,0,4,6,NA,NA,0,0,0,0,1,0,0,0
CERC200,Lovu,1,14,16,1,1,19,1,0,15,0.8,NA,1,0,1,1,1,1,1,0
CERC201,Lovu,1,13,17,0.5,1,20,1,NA,13,0.6,1,1,1,2,0,0,0,0,0
CERC202,Lovu,1,15,15,0.5,1,55,0,4,8,1,1,1,1,2,0,0,0,0,0
CERC203,Lovu,1,17,13,0.5,0.5,34,1,2,10,NA,NA,0,0,0,0,1,0,0,0
CERC204,Lovu,1,17,13,1,1,24,0,2,NA,1,0.5,1,1,2,0,0,0,0,0
CERC205,Lovu,1,18,12,0.5,1,54,0,4,8,0.666666667,0.666666667,1,1,2,1,1,0,0,0
CERC206,Lovu,1,14,16,1,1,48,0,2,9,1,0.666666667,1,1,2,0,0,0,0,0
CERC207,Lovu,1,10,20,1,1,62,0,0,2,1,NA,1,0,1,0,0,0,0,0
CERC208,Lovu,1,16,14,1,1,60,0,1,7,NA,NA,0,0,0,1,1,0,0,0
CERC209,Lovu,1,18,12,1,1,40,1,2,9,NA,0.333333333,0,1,1,0,1,0,0,0
CERC21,Coastal Tanna,1,15,15,1,1,21,0,0,15,NA,0.4,0,1,1,0,1,0,0,0
CERC210,Lovu,1,11,19,1,1,43,0,2,10,NA,NA,0,0,0,0,1,0,0,0
CERC211,Lovu,1,16,14,0.5,1,65,0,3,8,NA,1,0,1,1,1,1,0,0,0
CERC212,Lovu,1,19,11,1,1,67,0,1,8,1,1,1,1,2,1,0,0,0,0
CERC213,Lovu,1,15,15,1,1,55,0,4,2,NA,NA,0,0,0,1,0,0,0,0
